                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.31659,                 0.2847,                0.98816,                0.89169,                0.89333,                0.91398,                0.68577,                0.98477,                0.86205,                 1.7791,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.3234,                0.28831,                 0.9851,                0.84081,                0.89333,                0.89684,                0.68426,                 1.0297,                0.83476,                 1.8195,               0.000317,               0.000317,               0.000317
                     87,                0.32259,                0.29175,                0.98177,                0.88095,                0.78935,                0.90124,                0.67353,                 1.0114,                0.97775,                   1.79,              0.0002972,              0.0002972,              0.0002972
                     88,                0.31717,                 0.2753,                0.98144,                0.92858,                0.73333,                0.84291,                0.65978,                 1.0663,                 1.2178,                 1.7875,              0.0002774,              0.0002774,              0.0002774
                     89,                0.31092,                0.28467,                0.97175,                0.92383,                0.73333,                0.88066,                0.68648,                 1.0171,                 1.1858,                 1.7902,              0.0002576,              0.0002576,              0.0002576
                     90,                0.30924,                0.27184,                0.98642,                0.93303,                0.74308,                0.89692,                0.68466,                 1.0382,                 1.2866,                 1.7917,              0.0002378,              0.0002378,              0.0002378
                     91,                0.19616,                0.16092,                0.90248,                0.93733,                0.79768,                0.93155,                0.72606,                0.97415,                 1.1562,                 1.7013,               0.000218,               0.000218,               0.000218
                     92,                0.18974,                0.15139,                0.89478,                0.93321,                0.74517,                0.94759,                0.73603,                 1.0242,                 1.0554,                 1.8037,              0.0001982,              0.0001982,              0.0001982
                     93,                0.17868,                0.14863,                0.88676,                0.93225,                0.73389,                0.93755,                0.74445,                 1.0041,                 1.0931,                 1.7401,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.1727,                0.14701,                0.88411,                0.93216,                0.73286,                 0.9228,                0.73138,                0.94464,                 1.0396,                 1.7104,              0.0001586,              0.0001586,              0.0001586
                     95,                0.15658,                0.13529,                0.87666,                 0.9319,                0.72984,                0.89738,                0.74381,                 0.9017,                 1.1777,                 1.6352,              0.0001388,              0.0001388,              0.0001388
                     96,                0.16068,                 0.1352,                0.88246,                0.93208,                0.73192,                0.91253,                0.75999,                0.84768,                 1.0657,                 1.5762,               0.000119,               0.000119,               0.000119
                     97,                0.15121,                0.12967,                 0.8731,                0.93326,                 0.7458,                0.92707,                0.76523,                0.88974,                  1.041,                 1.6016,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.14736,                0.12776,                0.86815,                0.93291,                0.74162,                0.92714,                0.76913,                0.88045,                 1.0657,                 1.6217,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.14453,                0.12819,                0.87757,                0.93266,                0.73868,                0.92855,                0.76802,                 0.8833,                 1.0375,                 1.6068,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.14387,                0.12632,                0.85745,                0.93278,                0.74011,                0.93188,                0.75661,                0.86245,                 1.0756,                 1.5792,               3.98e-05,               3.98e-05,               3.98e-05
